E-BIKE Haibike; 40; 23800; FALSE; 30000; pink; 1455
E-BIKE ElectrO; 40; 23400; FALSE; 25000; flame; 1329
E-BIKE AirWheel; 45; 9200; TRUE; 15100; emerald; 815
FOLDING BIKE West Bike; 14; 7; 14700; TRUE; black; 1289
E-BIKE Ferrari; 60; 28900; FALSE; 21000; brown; 825
FOLDING BIKE Cayman; 18; 8; 13200; FALSE; pink; 715
FOLDING BIKE Dahon; 14; 3; 8100; TRUE; marine; 349
FOLDING BIKE Trinx; 26; 7; 13400; TRUE; grenadine; 1675
FOLDING BIKE Crosser; 24; 3; 16000; FALSE; marine; 1129
E-BIKE Ecofect; 25; 23900; TRUE; 18000; blue; 925
FOLDING BIKE Stern; 26; 24; 11200; TRUE; black; 339
E-BIKE Zaxboard; 35; 24600; TRUE; 17000; khaki; 2015
E-BIKE ITrike; 60; 19600; TRUE; 9800; red; 1385
E-BIKE ElectrO; 55; 22400; FALSE; 16000; red; 2109
E-BIKE E-Scooter; 60; 8300; FALSE; 13100; silver; 345
E-BIKE Tesla; 25; 7800; FALSE; 9500; beige; 1365
FOLDING BIKE Flex; 20; 27; 16300; TRUE; white; 1409
FOLDING BIKE Formula; 20; 24; 16600; TRUE; grenadine; 1585
E-BIKE OIO; 65; 12600; FALSE; 8800; coral; 199
E-BIKE Peugeot; 35; 10300; FALSE; 9200; blue; 225
FOLDING BIKE West Bike; 24; 27; 12300; TRUE; black; 1065
E-BIKE Maraton; 25; 9000; TRUE; 9000; dark gray; 1565
E-BIKE Scott; 60; 19000; FALSE; 23000; beige; 1475
E-BIKE GoCycle; 55; 19600; TRUE; 14000; yellow; 1949
E-BIKE Speedelec Minirider; 15; 10000; FALSE; 15100; orange; 1349
E-BIKE ITrike; 55; 13300; TRUE; 10300; khaki; 1019
E-BIKE Lankeleisi; 40; 26700; FALSE; 28000; blue; 2865
E-BIKE Speedelec Minirider; 30; 14400; FALSE; 7800; rose; 1445
E-BIKE EcoRide; 15; 7200; FALSE; 11200; green; 1135
FOLDING BIKE Dahon; 14; 7; 13900; FALSE; khaki; 1009
E-BIKE Speedway; 25; 13800; FALSE; 8000; silver; 1555
FOLDING BIKE Crosser; 20; 7; 8300; FALSE; olive; 945
E-BIKE AirWheel; 30; 19600; FALSE; 11500; grenadine; 1555
E-BIKE Xiaomi; 40; 6500; FALSE; 9000; silver; 375
E-BIKE ITrike; 50; 17200; TRUE; 5200; violet; 1355
E-BIKE Ecofect; 35; 27000; FALSE; 18000; olive; 1989
E-BIKE OIO; 10; 12100; TRUE; 9200; blue; 1169
E-BIKE Zaxboard; 25; 23500; FALSE; 26000; beige; 2785
E-BIKE Booster; 55; 11700; FALSE; 6000; marine; 1299
FOLDING BIKE West Bike; 18; 27; 11700; FALSE; emerald; 1439
E-BIKE ITrike; 10; 20900; TRUE; 5700; golden; 1475
FOLDING BIKE Kross; 20; 8; 14800; FALSE; yellow; 1675
E-BIKE Ultron; 65; 21600; FALSE; 4800; silver; 599
E-BIKE SkyBike; 60; 20700; FALSE; 15000; violet; 2119
FOLDING BIKE Make Bike; 14; 8; 10000; TRUE; olive; 1149
FOLDING BIKE Stern; 26; 27; 10000; TRUE; green; 355
E-BIKE Porshe Design; 40; 20800; TRUE; 18000; green; 1119
FOLDING BIKE Titan; 24; 7; 16900; TRUE; green; 1339
E-BIKE Tesla; 65; 18500; TRUE; 9200; green; 319
FOLDING BIKE Cayman; 20; 21; 15100; TRUE; pink; 1479
FOLDING BIKE Titan; 24; 9; 15000; TRUE; lemon; 1525
E-BIKE GoCycle; 65; 26900; FALSE; 12000; beige; 1945
E-BIKE Smart; 10; 15000; FALSE; 7200; olive; 455
E-BIKE ElectrO; 45; 24100; FALSE; 23000; silver; 919
E-BIKE Xiaomi; 40; 9300; FALSE; 14700; coral; 609
FOLDING BIKE Make Bike; 20; 7; 12300; FALSE; orange; 959
FOLDING BIKE Dahon; 20; 9; 13900; TRUE; silver; 1685
FOLDING BIKE Crosser; 20; 1; 11400; TRUE; grey; 1459
E-BIKE Booster; 50; 10200; FALSE; 2500; green; 1525
E-BIKE ElectrO; 50; 22600; FALSE; 22000; emerald; 2205
E-BIKE Porshe Design; 65; 28600; TRUE; 11000; yellow; 1085
E-BIKE ION; 50; 25600; FALSE; 24000; blue; 1835
E-BIKE Xiaomi; 10; 9700; TRUE; 8400; silver; 795
E-BIKE Haibike; 60; 21400; FALSE; 14000; golden; 2885
FOLDING BIKE Polygon; 24; 3; 16200; TRUE; blue; 655
FOLDING BIKE Cayman; 24; 1; 8900; FALSE; rose; 1615
E-BIKE Maraton; 25; 21100; TRUE; 12300; lemon; 909
E-BIKE Felt; 60; 22400; TRUE; 25000; violet; 719
FOLDING BIKE Crosser; 24; 6; 9500; FALSE; lemon; 1675
E-BIKE Peugeot; 20; 9900; TRUE; 2500; orange; 809
FOLDING BIKE Titan; 26; 3; 13500; FALSE; pink; 1685
E-BIKE Porshe Design; 30; 28300; FALSE; 31000; flame; 689
FOLDING BIKE SkyBike; 24; 6; 16800; TRUE; khaki; 445
FOLDING BIKE West Bike; 26; 18; 16400; TRUE; green; 335
E-BIKE Koga; 65; 20200; TRUE; 19000; grey; 3185
FOLDING BIKE Trinx; 24; 6; 8200; FALSE; orange; 1559
E-BIKE Maraton; 40; 14500; FALSE; 12200; lemon; 885
FOLDING BIKE Brompton; 18; 9; 11900; FALSE; yellow; 845
E-BIKE Koga; 60; 21200; FALSE; 15000; brown; 1135
E-BIKE Rover; 25; 25000; FALSE; 8000; beige; 829
E-BIKE ITrike; 40; 19900; FALSE; 11600; violet; 1285
E-BIKE Speedway; 45; 21300; FALSE; 4400; green; 1279
FOLDING BIKE Author; 20; 3; 12800; FALSE; silver; 1505
E-BIKE Xiaomi; 65; 20900; TRUE; 3400; beige; 1139
